Review_ID,Review_Text,Rating,Sentiment_Label,Sentiment_Score,Category,Platform,Review_Date,Month,Helpful_Votes,Verified_Purchase
REV00001,Very disappointed. Product quality is horrible. Not worth the price.,1,Negative,-0.874,Automotive,Amazon,2023-04-15,2023-04,108,Yes
REV00002,Highly recommend! Product is exactly as described. superb experience.,5,Positive,0.693,Automotive,Meesho,2024-10-27,2024-10,56,No
REV00003,Not satisfied at all. terrible product. Expected much better.,2,Negative,-0.856,Toys,Myntra,2024-03-08,2024-03,39,Yes
REV00004,Average experience overall. Product is functional.,3,Neutral,-0.08,Fashion,Myntra,2024-01-25,2024-01,88,Yes
REV00005,Okay packaging. Product condition was acceptable.,3,Neutral,-0.008,Beauty,Amazon,2023-05-08,2023-05,141,Yes
REV00006,It works but I expected more features for this price.,3,Neutral,0.077,Health,Flipkart,2024-01-06,2024-01,17,Yes
REV00007,Not satisfied at all. horrible product. Expected much better.,2,Negative,-0.23,Beauty,Myntra,2023-04-14,2023-04,116,Yes
REV00008,Fast shipping and the product is superb. Very happy with purchase.,4,Positive,0.956,Fashion,Nykaa,2024-10-25,2024-10,43,Yes
REV00009,Amazing product! fantastic build quality. Five stars!,5,Positive,0.454,Electronics,Flipkart,2023-11-29,2023-11,8,Yes
REV00010,Exceeded my expectations. superb packaging and amazing customer support.,5,Positive,0.52,Grocery,Meesho,2024-11-02,2024-11,117,Yes
REV00011,Highly recommend! Product is exactly as described. fantastic experience.,5,Positive,0.928,Toys,Flipkart,2024-02-13,2024-02,35,No
REV00012,Absolutely love this product! premium quality and flawlessly delivery.,5,Positive,0.854,Health,Amazon,2024-03-08,2024-03,98,No
REV00013,Very bad experience. Product is horrible and stopped working soon.,2,Negative,-0.225,Fashion,Nykaa,2023-01-12,2023-01,68,Yes
REV00014,Amazing product! outstanding build quality. Five stars!,4,Positive,0.805,Automotive,Flipkart,2023-09-27,2023-09,129,Yes
REV00015,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,0.068,Health,Flipkart,2024-06-03,2024-06,39,Yes
REV00016,Terrible! terrible product quality. Will not buy again.,1,Negative,-0.56,Toys,Myntra,2023-04-25,2023-04,61,Yes
REV00017,Very satisfied. The product is premium and works as expected.,5,Positive,0.871,Home & Kitchen,Flipkart,2024-06-29,2024-06,121,Yes
REV00018,Fantastic! The item is top-notch and exactly what I needed.,5,Positive,0.829,Books,Myntra,2024-12-07,2024-12,102,Yes
REV00019,Best purchase I've made. remarkable quality at a great price.,4,Positive,0.345,Health,Nykaa,2023-01-22,2023-01,58,Yes
REV00020,Loved it! Product quality is excellent. Would recommend to friends.,4,Positive,0.322,Fashion,Nykaa,2023-12-05,2023-12,60,Yes
REV00021,Worst purchase ever. Product is pathetic and not as described.,2,Negative,-0.206,Grocery,Flipkart,2024-08-13,2024-08,121,No
REV00022,Exceeded my expectations. top-notch packaging and amazing customer support.,5,Positive,0.627,Fashion,Amazon,2023-02-25,2023-02,103,Yes
REV00023,Average quality. Delivery was on time. Acceptable for the price.,3,Neutral,-0.05,Automotive,Meesho,2023-07-14,2023-07,35,No
REV00024,"Excellent! Delivery was quick, product works perfectly.",5,Positive,0.903,Fashion,Amazon,2024-07-17,2024-07,138,Yes
REV00025,Alright product. Would consider other options next time.,3,Neutral,0.051,Home & Kitchen,Meesho,2023-08-31,2023-08,124,No
REV00026,Amazing product! excellent build quality. Five stars!,5,Positive,0.99,Grocery,Myntra,2023-09-29,2023-09,108,No
REV00027,Superb quality! Will definitely buy again. superb service overall.,5,Positive,0.68,Electronics,Amazon,2023-11-18,2023-11,149,No
REV00028,Defective product delivered. pathetic response from seller.,1,Negative,-0.543,Fashion,Nykaa,2023-07-10,2023-07,17,Yes
REV00029,Wonderful purchase. superb quality and prompt delivery.,5,Positive,0.734,Health,Nykaa,2024-03-05,2024-03,133,Yes
REV00030,Decent product. Not the best but not the worst either.,3,Neutral,0.034,Books,Myntra,2023-11-18,2023-11,101,Yes
REV00031,Highly disappointing. mediocre packaging and product looks fake.,1,Negative,-0.323,Electronics,Meesho,2023-03-16,2023-03,144,Yes
REV00032,Highly recommend! Product is exactly as described. fantastic experience.,5,Positive,0.917,Toys,Myntra,2023-09-08,2023-09,40,No
REV00033,Okay packaging. Product condition was acceptable.,3,Neutral,-0.039,Automotive,Amazon,2024-10-31,2024-10,141,Yes
REV00034,Average quality. Delivery was on time. Acceptable for the price.,3,Neutral,0.088,Sports,Amazon,2023-05-18,2023-05,27,Yes
REV00035,Very satisfied. The product is superb and works as expected.,5,Positive,0.781,Automotive,Meesho,2023-09-28,2023-09,64,Yes
REV00036,Amazing product! fantastic build quality. Five stars!,4,Positive,0.84,Sports,Flipkart,2024-10-14,2024-10,113,No
REV00037,Terrible experience. Delivery was delayed and product is awful.,2,Negative,-0.378,Automotive,Amazon,2023-06-02,2023-06,94,Yes
REV00038,Absolutely love this product! fantastic quality and beautifully delivery.,5,Positive,0.857,Toys,Flipkart,2023-02-10,2023-02,63,Yes
REV00039,Best purchase I've made. top-notch quality at a great price.,5,Positive,0.948,Home & Kitchen,Flipkart,2023-08-31,2023-08,105,Yes
